Serial_Number,Roll_Num,Uni_ID,Student_Name,AML3201,CSL2301,CSL3307,CSL4207,CSL4208,CSL4305,CSL4318,CSL4336,CSL5210,CSP2301,ECL3311,GEW1601,GEW1603,GEW1604,GEW1605,GEW1607,GEW1608,GEW1609,GEW1610,GEW1611,GEW1613,HUL2401,HUL3301,AMP1201,CSP1307,CSP2210,ECP1311
,10123948,20012538,AAA AAA538,,,76.19,78.69,,,,,78.57,,85.0,,,93.75,,,,,,,,,,,80.0,79.63,87.5
 540,10123950,20012540,AAA AAA540,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
 541,10123951,20012541,AAA AAA541,,,,83.61,,,80.65,85.37,,78.57,,,,,,,,,,,,,,,,,
 542,10123952,20012542,AAA AAA542,,,78.57,83.61,,78.43,,,100.0,,,,,100.0,,,,,,,,,,,93.33,87.04,96.88
 543,10123953,20012543,AAA AAA543,,,76.19,81.97,,,,,78.57,,,,100.0,,,,,,,,,,,,,79.63,75.0
 544,10123954,20012544,AAA AAA544,,,85.71,85.25,,78.43,,,92.86,,78.33,,,,100.0,,,,,,,,,,93.33,77.78,78.13
 545,10123955,20012545,AAA AAA545,,,78.57,81.97,,84.31,,,100.0,,83.33,,,100.0,,,,,,,,,,,93.33,81.48,81.25
 546,10123956,20012546,AAA AAA546,,,78.57,80.33,,,,,92.86,,81.67,,,,,,,,,100.0,,,,,93.33,81.48,81.25
 547,10123957,20012547,AAA AAA547,,,76.19,78.69,,,,,85.71,,75.0,,,,,,,,,100.0,,,,,86.67,79.63,81.25
 548,10123958,20012548,AAA AAA548,,,76.19,75.41,,,,,92.86,,,,75.0,,,,,,,,,,,,80.0,75.93,81.25
 549,10123959,20012549,AAA AAA549,,,78.57,81.97,,78.43,,,92.86,,76.67,,100.0,,,,,,,,,,,,80.0,75.93,75.0
 550,10123960,20012550,AAA AAA550,,,,,,,,,85.71,,,,,,100.0,,,,,,,,,,86.67,75.93,75.0
 551,10123961,20012551,AAA AAA551,,,76.19,77.05,,78.43,,,85.71,,75.0,,,,100.0,,,,,,,,,,86.67,83.33,75.0
 552,10123962,20012552,AAA AAA552,,77.42,,88.52,88.52,,87.1,95.12,,89.29,,,,,,,,,,,,,,,,,
 553,10123963,20012553,AAA AAA553,,,83.33,85.25,,78.43,,,85.71,,81.67,,,,,,87.5,,,,,,,,93.33,85.19,93.75
 554,10123964,20012554,AAA AAA554,,,,81.97,83.61,,83.87,87.8,,87.5,,,,,,,,,,,,,,,,,
 555,10123965,20012555,AAA AAA555,,77.42,,83.61,80.33,,87.1,87.8,,82.14,,,,,,,,,,,,,,,,,
 556,10123966,20012556,AAA AAA556,,,83.33,86.67,,87.5,,,93.33,,83.61,,,,,,,,100.0,,,,,,78.57,78.33,96.55
 557,10123967,20012557,AAA AAA557,,77.42,,80.33,80.33,,90.32,82.93,,75.0,,,,,,,,,,,,,,,,,
 558,10123968,20012558,AAA AAA558,,77.42,,85.25,80.33,,87.1,82.93,,85.71,,,,,,,,,,,,,,,,,
 559,10123969,20012559,AAA AAA559,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
 560,10123970,20012560,AAA AAA560,,,,78.33,,76.79,,,80.0,,75.41,,,,100.0,,,,,,,,,,,,75.86
 561,10123971,20012561,AAA AAA561,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,
 562,10123972,20012562,AAA AAA562,,,76.19,,,76.79,,,,,75.41,,,,,100.0,,,,,,,,,78.57,75.0,75.86
 563,10123973,20012563,AAA AAA563,,,,76.67,,76.79,,,80.0,,75.41,,,,,,,87.5,,,,,,,,,
 564,10123974,20012564,AAA AAA564,,,,,,76.79,,,80.0,,,,,,,,,,,100.0,,,,,78.57,75.0,
 565,10123975,20012565,AAA AAA565,,,,,,,,,80.0,,,,,,,,,,,100.0,,,,,78.57,75.0,
 566,10123976,20012566,AAA AAA566,,,76.19,,,75.0,,,,,,,,,,,,87.5,,,,,,,78.57,,
 567,10123977,20012567,AAA AAA567,,,,75.0,,78.57,,,86.67,,85.25,,,,100.0,,,,,,,,,,78.57,75.83,89.66
 568,10123978,20012568,AAA AAA568,,,76.19,,,76.79,,,,,80.33,,,,100.0,,,,,,,,,,78.57,75.0,
 569,10123979,20012569,AAA AAA569,,80.65,,88.52,85.25,,87.1,95.12,,89.29,,,,,,,,,,,,,,,,,
 570,10123980,20012570,AAA AAA570,,,76.19,80.0,,76.79,,,86.67,,77.05,,,,100.0,,,,,,,,,,78.57,75.0,
 571,10123981,20012571,AAA AAA571,,,85.71,85.0,,85.71,,,80.0,,83.61,,,,,,100.0,,,,,,,,78.57,86.67,82.76
 572,10123982,20012572,AAA AAA572,,,76.19,81.67,,76.79,,,80.0,,77.05,,,,,,,,100.0,,,,,,78.57,76.67,75.86
 573,10123983,20012573,AAA AAA573,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
 574,10123984,20012574,AAA AAA574,,,,75.0,,80.36,,,80.0,,75.41,,,,,,,,,100.0,,,,,78.57,75.0,82.76
 575,10123985,20012575,AAA AAA575,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
 576,10123986,20012576,AAA AAA576,,,76.19,76.67,,78.57,,,80.0,,75.41,,100.0,,,,,,,,,,,,78.57,76.67,75.86
 577,10123987,20012577,AAA AAA577,,,76.19,,,78.57,,,,,75.41,,,,,,,87.5,,,,,,,85.71,75.0,
 578,10123988,20012578,AAA AAA578,,,,,,,,,,,75.41,,100.0,,,,,,,,,,,,,,82.76
 579,10123989,20012579,AAA AAA579,,,85.71,78.33,,76.79,,,80.0,,85.25,,,,,,,,,100.0,,,,,85.71,85.0,82.76
 580,10123990,20012580,AAA AAA580,,,76.19,78.33,,78.57,,,80.0,,75.41,,100.0,,,,,,,,,,,,78.57,78.33,75.86
 582,10123992,20012582,AAA AAA582,,77.42,,85.25,86.89,,87.1,82.93,,78.57,,,,,,,,,,,,,,,,,83.33
 583,10123993,20012583,AAA AAA583,,,,,,,,,80.0,,,,,100.0,,,,,,,,,,,78.57,,75.86
 584,10123994,20012584,AAA AAA584,,,,,,78.57,,,,,,,,,,,,,,93.75,,,,,78.57,,75.86
 585,10123995,20012585,AAA AAA585,,,76.19,93.33,,87.5,,,100.0,,93.44,,,,100.0,,,,,,,,,,85.71,83.33,96.55
 586,10123996,20012586,AAA AAA586,,,,80.0,,76.79,,,86.67,,80.33,,,100.0,,,,,,,,,,,78.57,76.67,96.55
 587,10123997,20012587,AAA AAA587,,,,,,,,,80.0,,,,,,,75.0,,,,,,,,,92.86,,
 588,10123998,20012588,AAA AAA588,,,,75.0,,75.0,,,80.0,,,,,,75.0,,,,,,,,,,,,75.86
 589,10123999,20012589,AAA AAA589,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
 590,10124000,20012590,AAA AAA590,,,,77.05,,,,,80.0,,76.67,,,,,,,,100.0,,,,,,80.0,76.19,
 591,10124001,20012591,AAA AAA591,,,,85.25,81.97,,83.87,78.05,,89.29,,,,,,,,,,,,,,,,,
 592,10124002,20012592,AAA AAA592,,90.32,,86.89,83.61,,90.32,82.93,,92.86,,,,,,,,,,,,,,,,,
 593,10124003,20012593,AAA AAA593,,,75.0,80.33,,,,,86.67,,80.0,,,,,,100.0,,,,,,,,86.67,79.37,
 594,10124004,20012594,AAA AAA594,,,75.0,78.69,,80.7,,,93.33,,76.67,,,,,,,100.0,,,,,,,86.67,84.13,78.57
 595,10124005,20012595,AAA AAA595,,,77.27,83.61,,77.19,,,100.0,,75.0,,,,,,100.0,,,,,,,,86.67,79.37,
 596,10124006,20012596,AAA AAA596,,,,75.41,,75.44,,,80.0,,,,,100.0,,,,,,,,,,,86.67,79.37,
 597,10124007,20012597,AAA AAA597,,,75.0,88.52,,78.95,,,86.67,,75.0,,,,,,,,,100.0,,,,,86.67,95.24,78.57
 598,10124008,20012598,AAA AAA598,,,,77.05,,,,,80.0,,,,100.0,,,,,,,,,,,,86.67,77.78,
 599,10124009,20012599,AAA AAA599,,,,78.69,,,,,93.33,,,,,,,,,,100.0,,,,,,86.67,76.19,
 600,10124010,20012600,AAA AAA600,,,75.0,80.33,,80.7,,,100.0,,78.33,,,,100.0,,,,,,,,,,86.67,88.89,85.71
 601,10124011,20012601,AAA AAA601,,,79.55,78.69,,84.21,,,93.33,,80.0,,,,,,,100.0,,,,,,,93.33,80.95,92.86
 602,10124012,20012602,AAA AAA602,,83.87,,83.61,83.61,91.67,87.1,82.93,,78.57,,,,,,,,,,,,,,,,,
 603,10124013,20012603,AAA AAA603,,,,86.89,,,,,96.67,,,,,100.0,,,,,,,,,,,86.67,80.95,
 604,10124014,20012604,AAA AAA604,,,75.0,75.41,,,,,86.67,,80.0,,,,,,,,100.0,,,,,,80.0,76.19,85.71
 605,10124015,20012605,AAA AAA605,,,75.0,81.97,,77.19,,,93.33,,,,,,,,100.0,,,,,,,,93.33,80.95,78.57
 606,10124016,20012606,AAA AAA606,,,,80.33,,,,,100.0,,76.67,,,,,,,,,100.0,,,,,80.0,82.54,92.86
 607,10124017,20012607,AAA AAA607,,93.55,,83.61,81.97,,90.32,85.37,,89.29,,,,,,,,,,,,,,,,,
 608,10124018,20012608,AAA AAA608,,,77.27,77.05,,79.31,,,80.0,,75.41,,,,,,,100.0,,,,,,,84.62,80.95,81.25
 609,10124019,20012609,AAA AAA609,,,,75.41,,,,,80.0,,75.0,,,,,,,,,100.0,,,,,93.33,76.19,
 610,10124020,20012610,AAA AAA610,,,,75.41,,,,,83.33,,,,,,,100.0,,,,,,,,,86.67,76.19,
 611,10124021,20012611,AAA AAA611,,,,77.05,,,,,80.0,,,,,,,,,,100.0,,,,,,93.33,79.37,85.71
 612,10124022,20012612,AAA AAA612,,,77.27,83.61,,79.31,,,86.67,,78.69,,,,,,100.0,,,,,,,,76.92,87.3,87.5
 613,10124023,20012613,AAA AAA613,,83.87,,85.25,85.25,,87.1,80.49,,89.29,,,,,,,,,,,,,,,,,
 614,10124024,20012614,AAA AAA614,,,88.64,86.89,,77.59,,,80.0,,81.97,,,,100.0,,,,,,,,,,84.62,90.48,81.25
 615,10124025,20012615,AAA AAA615,,,81.82,78.69,,,,,93.33,,,,,,,,,100.0,,,,,,,84.62,82.54,81.25
 616,10124026,20012616,AAA AAA616,,,81.82,90.16,,82.76,,,100.0,,81.97,,,,,,,100.0,,,,,,,92.31,87.3,81.25
 617,10124027,20012617,AAA AAA617,,,86.36,81.97,,84.48,,,93.33,,80.33,,,,,,,,100.0,,,,,,92.31,90.48,81.25
 618,10124028,20012618,AAA AAA618,,,77.27,78.69,,,,,86.67,,75.41,,,,,,100.0,,,,,,,,76.92,76.19,75.0
 619,10124029,20012619,AAA AAA619,,87.1,,80.33,85.25,,87.1,80.49,,78.57,,,,,,,,,,,,,,,,,
 620,10124030,20012620,AAA AAA620,,87.1,,80.33,86.89,,80.65,87.8,,85.71,,,,,,,,,,,,,,,,,
 621,10124031,20012621,AAA AAA621,,,84.09,85.25,,79.31,,,93.33,,81.97,,,,,,100.0,,,,,,,,92.31,87.3,87.5
 622,10124032,20012622,AAA AAA622,,,81.82,78.69,,82.76,,,100.0,,,,,,,,,,,100.0,,,,,84.62,85.71,75.0
 623,10124033,20012623,AAA AAA623,,,75.0,78.69,,,,,93.33,,,,,,,,,100.0,,,,,,,92.31,84.13,75.0
 624,10124034,20012624,AAA AAA624,,,77.27,77.05,,77.59,,,80.0,,77.05,,,,,,,100.0,,,,,,,84.62,85.71,75.0
 625,10124035,20012625,AAA AAA625,,,,85.25,80.33,,80.65,75.61,,82.14,,,,,,,,,,,,,,,,,
 626,10124036,20012626,AAA AAA626,,,79.55,90.16,,79.31,,,93.33,,80.33,,,,,,,100.0,,,,,,,92.31,87.3,87.5
 627,10124037,20012627,AAA AAA627,,,,78.69,75.41,,,,,,,,,,,,,,,,,,,,,,
 628,10124038,20012628,AAA AAA628,,,77.27,78.69,,,,,93.33,,,,,,,,,,100.0,,,,,,84.62,76.19,75.0
 629,10124039,20012629,AAA AAA629,,,81.82,86.89,,77.59,,,100.0,,78.69,,,,,,100.0,,,,,,,,92.31,87.3,81.25
 630,10124040,20012630,AAA AAA630,,,,,,,,,80.0,,,,,,,100.0,,,,,,,,,92.31,,
 631,10124041,20012631,AAA AAA631,,,,,,,,,86.67,,,,,100.0,,,,,,,,,,,76.92,,
 632,10124042,20012632,AAA AAA632,,,77.27,77.05,,75.86,,,80.0,,77.05,,,,,,,100.0,,,,,,,84.62,82.54,81.25
 633,10124043,20012633,AAA AAA633,,,,77.05,,,,78.05,,,,,,,,,,,,,,,,,,,
 634,10124044,20012634,AAA AAA634,,,,88.52,88.52,,87.1,82.93,,82.14,,,,,,,,,,,,,,,,,
 635,10124045,20012635,AAA AAA635,,,90.91,91.8,,87.93,,,93.33,,90.16,,,,,,,,100.0,,,,,,92.31,90.48,93.75
 636,10124046,20012636,AAA AAA636,,,,80.33,80.33,,80.65,,,82.14,,,,,,,,,,,,,,,,,
 637,10124047,20012637,AAA AAA637,,,,83.61,,,,,93.33,,77.05,,,,,,100.0,,,,,,,,84.62,80.95,81.25
 638,10124048,20012638,AAA AAA638,,,,81.36,,77.59,,,93.75,,,,,,100.0,,,,,,,,,,87.5,75.41,86.67
 639,10124049,20012639,AAA AAA639,76.09,82.14,,82.46,75.81,,,,86.67,80.0,,,,100.0,,,,,,,,,,80.0,,76.27,
 640,10124050,20012640,AAA AAA640,,,80.65,81.08,,78.33,,,91.67,,75.47,,,,,,,,,,100.0,,,,100.0,78.1,81.82
 641,10124051,20012641,AAA AAA641,,,82.22,88.14,,86.21,,,100.0,,82.76,,,,100.0,,,,,,,,,,87.5,85.25,93.33
 642,10124052,20012642,AAA AAA642,,,,85.71,89.47,,96.67,93.02,,92.86,,,,,,,,,,,,,,,,,
 643,10124053,20012643,AAA AAA643,76.09,78.57,,75.44,79.03,,,,80.0,83.64,,,,,,,,,,100.0,,,,93.33,,77.97,
 644,10124054,20012644,AAA AAA644,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,
 645,10124055,20012645,AAA AAA645,,,77.78,77.05,,85.0,,,86.67,,,,,,,,,,,100.0,,,,,78.57,75.0,80.0
 646,10124056,20012646,AAA AAA646,,,82.22,,,77.19,,,75.0,,,,100.0,,,,,,,,,,,,,,84.62
 647,10124057,20012647,AAA AAA647,,,83.33,85.25,,78.43,,,85.71,,75.0,,,,100.0,,,,,,,,,,80.0,85.19,81.25
